,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1472,108年10月26日 12時58分00秒,桃園市龜山區明興街八德外役監獄側門前,死亡1;受傷0,普通重型-機車,121.331428,24.980845
1481,108年10月28日 06時50分05秒,桃園市觀音區台61線快速道路38.1K處往北大園方向,死亡1;受傷0,營業用-曳引車;營業用-曳引車;自用-大貨車,121.090294,25.052356
1496,108年10月31日 17時20分29秒,桃園市中壢區新生路3段口 / 桃園市中壢區大圳路口,死亡1;受傷1,自用-大貨車;普通重型-機車;普通重型-機車;乘客-人,121.222176,24.987178
1502,108年11月01日 16時02分51秒,桃園市龍潭區文化路口 / 桃園市龍潭區淮子埔路口,死亡1;受傷0,普通重型-機車;自用-小客車,121.245535,24.850069
1510,108年11月02日 11時50分00秒,桃園市龍潭區中豐路上林段242號前0.0公尺附近,死亡1;受傷0,行人-人;營業用-曳引車,121.205615,24.861151
1531,108年11月08日 03時18分20秒,桃園市八德區茄苳里中華路535號前0.0公尺,死亡1;受傷0,普通重型-機車,121.272074,24.978811
1536,108年11月09日 11時17分28秒,桃園市八德區瑞泰里介壽路二段1077號前0.0公尺,死亡1;受傷1,行人-人;大型重型2(250-550C.C.)-機車;自用-小客車,121.297517,24.93392
1543,108年11月11日 00時56分00秒,桃園市中壢區中園路2段口 / 桃園市中壢區中園路2段口,死亡1;受傷0,自用-小客車;普通重型-機車,121.234163,24.99228
1561,108年11月16日 07時20分00秒,桃園市龜山區東方球場路100號前0.0公尺北側,死亡1;受傷0,普通重型-機車,121.364611,25.005732
1564,108年11月16日 16時40分09秒,桃園市大溪區台七乙線11.9K處(O108110163百吉所),死亡1;受傷0,普通重型-機車,121.33441,24.848873
1568,108年11月17日 21時06分04秒,桃園市大園區中正東路西向跨國道二號路橋上,死亡1;受傷1,租賃車-小客車;普通重型-機車;自用-小客車,121.213808,25.058689
1589,108年11月21日 17時35分03秒,桃園市蘆竹區山林路2段760號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,121.313308,25.080031
1601,108年11月24日 09時19分57秒,桃園市大溪區康莊路709號前0.0公尺,死亡1;受傷2,普通重型-機車;大型重型1(550C.C.以上)-機車;自用-小客車;乘客-人,121.283736,24.864498
1611,108年11月25日 17時40分37秒,桃園市蘆竹區新興街417號前0.0公尺口,死亡1;受傷0,自用-小客車;普通重型-機車,121.263002,25.008245
