,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
1200,108年09月02日 16時56分00秒,新北市瑞芳區臺2線道路 / 新北市瑞芳區臺2線道路,死亡1;受傷3,自用-小客車;普通重型-機車;乘客-人;乘客-人,121.842028,25.122113
1201,108年09月03日 04時10分00秒,新北市五股區四維路185巷前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車,121.464605,25.07764
1212,108年09月04日 18時32分00秒,新北市新店區行人穿越道,死亡1;受傷0,自用-小客車;行人-人,121.487811,24.951705
1238,108年09月11日 12時21分00秒,新北市新店區中興路 / 新北市新店區寶強路,死亡1;受傷0,營業用-小貨車(含客、貨兩用);行人-人,121.544317,24.98119
1239,108年09月11日 15時46分00秒,新北市五股區疏洪一路前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通輕型-機車,121.458371,25.075385
1243,108年09月12日 12時41分00秒,新北市三重區重新橋機車道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.482941,25.050892
1247,108年09月13日 06時43分00秒,新北市八里區中山路1段95號前0.0公尺,死亡1;受傷0,普通重型-機車,121.415234,25.15908
1272,108年09月16日 03時14分00秒,新北市三峽區正義街139巷前0.0公尺,死亡1;受傷0,自用-小客車;行人-人,121.368857,24.916624
1290,108年09月19日 05時03分00秒,新北市板橋區長江路1段 / 新北市板橋區環河西路4段,死亡1;受傷0,自用-小客車;行人-人,121.459465,25.029749
1305,108年09月23日 19時45分00秒,新北市板橋區民生路3段126號前0.0公尺,死亡1;受傷0,普通重型-機車;民營公車-大客車;其他人-人,121.46656,25.026838
1306,108年09月24日 03時54分00秒,新北市三重區環河南路125號前0.0公尺,死亡1;受傷0,計程車-小客車;遊覽車-大客車,121.496547,25.055374
1312,108年09月26日 04時40分00秒,新北市淡水區民權路83號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,121.459915,25.138439
1333,108年10月01日 11時11分00秒,新北市中和區中和路口 / 新北市中和區連城路口,死亡1;受傷0,民營公車-大客車;行人-人,121.511013,25.002397
1335,108年10月01日 14時05分00秒,新北市金山區臺2甲線道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.601387,25.213101
1340,108年10月01日 22時26分00秒,新北市新店區安業街-127351路燈號前0.0公尺,死亡1;受傷3,普通重型-機車;普通重型-機車;乘客-人;乘客-人,121.521187,24.974137
1362,108年10月05日 13時27分00秒,新北市八里區臺64線道路前0.0公尺,死亡1;受傷1,營業用-曳引車;自用-小客車;自用-小客車;普通重型-機車;自用-小客車,121.444316,25.058071
1363,108年10月05日 13時43分00秒,新北市三峽區大埔路前0.0公尺,死亡1;受傷2,普通重型-機車;自用-小客車;普通重型-機車;乘客-人,121.366035,24.910011
1377,108年10月08日 07時18分00秒,新北市樹林區中山路2段 / 新北市樹林區復興路,死亡1;受傷2,腳踏自行車-慢車;普通重型-機車;普通重型-機車,121.402458,24.975954
1378,108年10月08日 11時22分00秒,新北市鶯歌區福德一路 / 新北市鶯歌區福德一路,死亡2;受傷0,自用-小客車;自用-小客車;乘客-人,121.328509,24.964502
1392,108年10月11日 04時03分00秒,新北市三重區中正南路 / 新北市三重區重安街,死亡1;受傷0,自用-小客車;普通重型-機車,121.492743,25.0523
1403,108年10月13日 02時42分00秒,新北市樹林區柑園二橋道路前0.0公尺,死亡1;受傷0,普通重型-機車,121.44255,24.998942
1429,108年10月18日 06時21分00秒,新北市新莊區中華路2段57號前0.0公尺,死亡1;受傷1,普通重型-機車;腳踏自行車-慢車,121.453082,25.046917
1445,108年10月20日 23時25分00秒,新北市中和區中正路 / 新北市中和區圓通路,死亡1;受傷2,行人-人;普通重型-機車;普通重型-機車,121.495971,24.994081
1446,108年10月21日 00時20分00秒,新北市中和區圓通路367巷33弄前0.0公尺,死亡1;受傷0,腳踏自行車-慢車,121.495981,24.984676
1468,108年10月26日 05時51分00秒,新北市新莊區中正路253號前0.0公尺,死亡1;受傷1,行人-人;自用-小客車;行人-人,121.450009,25.03549
1471,108年10月26日 12時44分00秒,新北市新莊區新北大道 / 新北市新莊區五工六路,死亡1;受傷2,自用-小客車;普通重型-機車;乘客-人,121.45,25.033333
1489,108年10月28日 18時54分00秒,新北市淡水區中山北路2段177號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,121.444082,25.184768
1507,108年11月02日 01時59分00秒,新北市新店區寶橋路233號前0.0公尺,死亡1;受傷0,普通重型-機車,121.551327,24.978996
1530,108年11月07日 22時58分00秒,新北市汐止區大同路2段 / 新北市汐止區建成路,死亡1;受傷0,自用-小客車;普通重型-機車,121.651338,25.064712
1538,108年11月09日 22時19分00秒,新北市淡水區臺2線道路-8.4K號前0.0公尺,死亡1;受傷0,租賃車-小客車;普通重型-機車,121.452818,25.180878
1546,108年11月11日 11時30分00秒,新北市深坑區北深路3段234號前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;普通重型-機車;普通重型-機車;普通重型-機車;普通重型-機車,121.600598,25.004073
1559,108年11月15日 23時18分00秒,新北市板橋區環河西路4段前0.0公尺,死亡1;受傷2,大型重型1(550C.C.以上)-機車;普通重型-機車;乘客-人,121.485541,25.022253
1562,108年11月16日 13時33分00秒,新北市三重區中興橋快車道路前0.0公尺,死亡1;受傷1,自用-小客車;自用-小客車;營業用-小貨車(含客、貨兩用);乘客-人,121.495152,25.04773
1569,108年11月18日 07時24分00秒,新北市八里區龍米路2段146巷前0.0公尺,死亡1;受傷0,普通重型-機車,121.437813,25.155853
1581,108年11月20日 23時35分00秒,新北市泰山區泰林路2段 / 新北市泰山區福泰街,死亡1;受傷0,行人-人;自用-小客車,121.425814,25.064194
1582,108年11月20日 23時40分00秒,新北市深坑區北深路1段185-前號前0.0公尺,死亡1;受傷1,租賃車-小客車;普通重型-機車,121.632139,25.010395
1596,108年11月23日 05時49分00秒,新北市淡水區淡金路2段 / 新北市淡水區新市一路3段,死亡1;受傷1,民營客運-大客車;普通重型-機車;普通重型-機車,121.446047,25.193459
1598,108年11月23日 17時50分00秒,新北市汐止區新台五路2段前0.0公尺,死亡1;受傷0,營業用-大貨車;普通重型-機車,121.670913,25.066761
1604,108年11月24日 19時31分00秒,新北市中和區景平里景平路口 / 新北市中和區景新里景新街口,死亡1;受傷1,行人-人;普通重型-機車,121.496319,25.00367
