,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
717,108年05月23日 14時03分00秒,高雄市大寮區河堤路1段前 / 高雄市大寮區河堤路1段,死亡1;受傷0,營業用-曳引車;大型重型1(550C.C.以上)-機車,120.433624,22.569754
740,108年05月27日 11時53分00秒,高雄市新興區中山一路59號前0.0公尺,死亡1;受傷0,自用-小客車;普通重型-機車,120.301494,22.62971
764,108年06月02日 17時30分00秒,高雄市旗山區旗南三路 / 高雄市旗山區後厝巷,死亡1;受傷0,普通重型-機車;自用-小客車,120.462638,22.830017
770,108年06月03日 20時44分00秒,高雄市茂林區萬山巷前0.0公尺,死亡1;受傷2,自用-小客車;行人-人;行人-人,120.687599,22.911937
773,108年06月04日 10時20分00秒,高雄市小港區高松路前0.0公尺,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.371101,22.571752
776,108年06月04日 19時43分00秒,高雄市鳳山區中山東路 / 高雄市鳳山區中山東路,死亡1;受傷1,自用-小客車;普通重型-機車,120.376667,22.626909
784,108年06月06日 11時20分00秒,高雄市內門區182縣道內龍幹129號前0.0公尺前,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.5007,22.88605
787,108年06月06日 17時25分00秒,高雄市梓官區赤崁北路20號前0.0公尺,死亡1;受傷1,腳踏自行車-慢車;普通重型-機車,120.247071,22.738737
792,108年06月08日 04時33分00秒,高雄市大寮區鳳林四路14-2號前0.0公尺,死亡1;受傷1,普通重型-機車;行人-人,120.389027,22.614161
807,108年06月10日 08時45分00秒,高雄市阿蓮區中正路84號前0.0公尺前,死亡1;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車;乘客-人,120.3408,22.88185
809,108年06月10日 14時02分00秒,高雄市岡山區岡山南路 / 高雄市岡山區阿公店路2段,死亡1;受傷0,普通重型-機車;計程車-小客車,120.297068,22.785004
832,108年06月14日 11時06分00秒,高雄市岡山區致遠路協和076路燈號前0.0公尺,死亡1;受傷0,普通重型-機車,120.259116,22.795044
839,108年06月16日 13時06分00秒,高雄市大寮區新一街富基分14-1號前0.0公尺,死亡1;受傷0,普通重型-機車,120.409578,22.555688
852,108年06月18日 17時50分00秒,高雄市岡山區前峰路 / 高雄市岡山區巨輪路,死亡1;受傷0,自用-大貨車;普通重型-機車,120.283458,22.798744
855,108年06月19日 08時35分00秒,高雄市鳳山區大明路 / 高雄市鳳山區輜汽路,死亡1;受傷0,腳踏自行車-慢車;自用-小客車,120.341171,22.616911
859,108年06月20日 05時00分00秒,高雄市路竹區中山南路前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-曳引車,120.2661,22.82919
882,108年06月24日 06時50分00秒,高雄市大樹區姑山路姑山0112燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.439407,22.707776
883,108年06月24日 06時52分00秒,高雄市大寮區鳳林四路 / 高雄市大寮區光華路,死亡1;受傷1,普通重型-機車;普通重型-機車,120.382971,22.619215
892,108年06月26日 08時37分00秒,高雄市仁武區高楠公路32號前0.0公尺,死亡1;受傷0,普通重型-機車,120.323,22.69802
907,108年06月29日 07時00分00秒,高雄市旗山區旗南二路上洲164燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.4688,22.85958
930,108年07月04日 22時15分00秒,高雄市鼓山區中華一路 / 高雄市鼓山區環河街,死亡1;受傷0,自用-小客車;普通重型-機車,120.291749,22.649883
938,108年07月06日 12時08分00秒,高雄市大寮區光華路 / 高雄市大寮區華中路,死亡1;受傷0,營業用-半聯結車;普通重型-機車,120.428807,22.582788
954,108年07月09日 13時13分00秒,高雄市三民區澄觀陸橋東向西號前0.0公尺,死亡1;受傷0,普通重型-機車,120.327752,22.675606
960,108年07月11日 01時27分00秒,高雄市小港區中安路 / 高雄市小港區高鳳路,死亡1;受傷0,普通重型-機車,120.368384,22.584966
963,108年07月12日 00時43分16秒,高雄市燕巢區國道10號 14公里500.0公尺處東側向內側,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.382253,22.759619
978,108年07月15日 08時30分00秒,高雄市楠梓區高楠公路018201燈號前0.0公尺,死亡1;受傷0,自用-大貨車;普通重型-機車,120.3195,22.73482
986,108年07月16日 14時25分00秒,高雄市甲仙區文化路0號前0.0公尺,死亡1;受傷0,自用-大貨車,120.59424,23.08069
998,108年07月19日 10時13分00秒,高雄市鳳山區中山東路86-6號前0.0公尺前,死亡1;受傷0,普通重型-機車;自用-小客車;自用-大貨車,120.372161,22.624513
1013,108年07月23日 17時01分00秒,高雄市美濃區復興街1段 / 高雄市美濃區和平街,死亡1;受傷0,普通輕型-機車;自用-小貨車(含客、貨兩用),120.5382,22.88335
1024,108年07月25日 20時49分00秒,高雄市鳳山區瑞昌街 / 高雄市鳳山區中山東路,死亡1;受傷0,普通重型-機車;自用-小客車;自用-小客車,120.370749,22.624244
1034,108年07月27日 23時22分00秒,高雄市岡山區岡山北路120號前0.0公尺,死亡1;受傷0,電動輔助自行車-慢車,120.276424,22.812658
1042,108年07月30日 06時49分00秒,高雄市三民區自由一路以南快車道號前0.0公尺,死亡1;受傷0,行人-人;自用-小客車,120.308571,22.653297
1076,108年08月06日 05時15分00秒,高雄市岡山區國道1號 343公里700.0公尺處南側向外側,死亡1;受傷3,營業用-半聯結車;自用-大貨車;自用-小客車;乘客-人;乘客-人,120.31624,22.804312
