,發生時間,發生地點,死亡受傷人數,車種,經度,緯度
190143,108年07月26日 17時10分00秒,南投縣名間鄉客庄巷番仔寮枝8號電桿前,死亡0;受傷1,自用-小客車;普通重型-機車,120.695619,23.867856
190153,108年07月26日 17時19分42秒,南投縣南投市順溪南路沙雕出入口,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.682088,23.926929
190159,108年07月26日 17時20分15秒,南投縣埔里鎮南昌街口 / 南投縣埔里鎮西康路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.96474199999999,23.966231
190161,108年07月26日 17時20分22秒,南投縣埔里鎮北環路東華路口,死亡0;受傷1,普通重型-機車;自用-小客車,120.972278,23.966227
190163,108年07月26日 17時20分48秒,南投縣名間鄉南雲路5號前,死亡0;受傷1,普通重型-機車;自用-小客車;電動自行車-慢車,120.704936,23.825302999999998
190201,108年07月26日 17時50分54秒,南投縣中寮鄉永平路前50.0公尺東側,死亡0;受傷1,普通重型-機車;自用-小客車,120.78096799999999,23.905867
190257,108年07月26日 18時42分31秒,南投縣草屯鎮北投路177號,死亡0;受傷1,自用-小客車;普通重型-機車,120.66403400000002,23.98408
190261,108年07月26日 18時47分02秒,南投縣南投市南崗二路459號,死亡0;受傷1,自用-小客車;普通重型-機車,120.676345,23.917213
190292,108年07月26日 19時25分00秒,南投縣南投市中興路9號前,死亡0;受傷1,自用-小客車;行人-人,120.69686100000001,23.938271
190353,108年07月26日 20時40分45秒,南投縣草屯鎮雙冬里中正路與山茶巷口,死亡0;受傷3,普通重型-機車;普通重型-機車;乘客-人,120.808981,23.991452
190360,108年07月26日 20時51分25秒,南投縣南投市南崗一路北側 / 南投縣南投市彰南路東側,死亡0;受傷2,自用-小客車;普通重型-機車;乘客-人,120.685304,23.89959
190484,108年07月27日 06時30分08秒,南投縣水里鄉南光村中山路1段291號前0.0公尺東側,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.851766,23.807660000000002
190499,108年07月27日 07時03分11秒,南投縣草屯鎮明正里大觀市場停車場出入口,死亡0;受傷1,普通重型-機車,120.68342,23.984246
190547,108年07月27日 08時00分37秒,南投縣草屯鎮平林里平峰路與平林巷口,死亡0;受傷1,普通重型-機車,120.765556,23.9875
190559,108年07月27日 08時15分56秒,南投縣埔里鎮慈恩街196號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.97851899999999,23.954698
190626,108年07月27日 09時30分00秒,南投縣竹山鎮集山路三段1174號前,死亡0;受傷2,普通重型-機車;普通重型-機車;自用-小客車,120.678808,23.75395
190628,108年07月27日 09時30分03秒,南投縣鹿谷鄉水淹路 鳳城幹66,死亡0;受傷1,普通重型-機車,120.772957,23.735016
190629,108年07月27日 09時30分18秒,南投縣草屯鎮南埔里中正路259之3號西側,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.718465,23.978823000000002
190641,108年07月27日 09時43分00秒,南投縣南投市大庄路與文化南路口,死亡0;受傷1,自用-小客車;普通重型-機車,120.68366200000001,23.89828
190709,108年07月27日 10時45分04秒,南投縣草屯鎮中山里002鄰太平路二段245號前0.0公尺,死亡0;受傷2,普通重型-機車;普通重型-機車,120.683646,23.975263
190731,108年07月27日 11時08分57秒,南投縣埔里鎮北平街171號前,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.96668100000001,23.96716
190749,108年07月27日 11時30分24秒,南投縣埔里鎮忠孝路412號前,死亡0;受傷1,普通重型-機車;自用-小客車,120.97711299999999,23.96539
190789,108年07月27日 12時14分17秒,南投縣草屯鎮新厝里虎山路648巷99號北側,死亡0;受傷2,普通重型-機車;普通重型-機車,120.68830700000001,23.972425
190842,108年07月27日 13時19分00秒,南投縣南投市八卦路口 / 南投縣南投市八卦路口,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.637693,23.923727
190894,108年07月27日 14時30分00秒,南投縣仁愛鄉台14線 73公里200.0公尺處,死亡0;受傷1,自用-小客車,121.10418700000001,24.010185999999997
190904,108年07月27日 14時47分22秒,南投縣南投市復興路307號前0.0公尺附近,死亡0;受傷1,普通重型-機車;租賃車-小客車,120.68600900000001,23.91006
191043,108年07月27日 17時50分00秒,南投縣仁愛鄉台14甲線 5公里800.0公尺處西側向外側,死亡0;受傷2,普通重型-機車;乘客-人,121.154559,24.033789000000002
191050,108年07月27日 18時00分00秒,南投縣鹿谷鄉靖山農路菇神餐廳下方100公尺處,死亡0;受傷1,普通重型-機車,120.745834,23.754201000000002
191098,108年07月27日 19時15分10秒,南投縣草屯鎮山腳里民生路口 / 南投縣草屯鎮山腳里民生一街口,死亡0;受傷1,普通重型-機車,120.682854,23.96602
191106,108年07月27日 19時25分00秒,南投縣竹山鎮鹿山路190號前,死亡0;受傷1,自用-小貨車(含客、貨兩用);普通重型-機車,120.699941,23.759572
191333,108年07月28日 08時40分01秒,南投縣魚池鄉魚池街412號前,死亡0;受傷1,普通重型-機車;自用-小客車,120.93540300000001,23.897883
191421,108年07月28日 10時30分12秒,南投縣中寮鄉鄉林巷57-2號附近,死亡0;受傷2,普通重型-機車;普通重型-機車,120.75355400000001,23.893929
191442,108年07月28日 10時55分28秒,南投縣草屯鎮台14線 15公里向機、慢車道,死亡0;受傷7,自用-小客車;自用-小客車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.654675,24.003629
191447,108年07月28日 11時05分00秒,南投縣名間鄉頂廍巷1之7號旁三岔路口,死亡0;受傷1,電動自行車-慢車;自用-小客車,120.694837,23.840078
191473,108年07月28日 11時30分00秒,南投縣國姓鄉台21線 22.5公里東側向外側,死亡0;受傷1,普通重型-機車,120.88003700000002,24.058098
191522,108年07月28日 12時10分00秒,南投縣南投市南陽路口 / 南投縣南投市復興路口,死亡0;受傷1,普通重型-機車;普通重型-機車,120.68423999999999,23.913501
191523,108年07月28日 12時10分00秒,南投縣名間鄉中山村名松路150-20號前0.0公尺西側,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.687578,23.841039000000002
191526,108年07月28日 12時13分00秒,南投縣草屯鎮富頂路一段40號前,死亡0;受傷1,普通重型-機車;普通重型-機車,120.699921,23.979729000000003
191563,108年07月28日 12時55分00秒,南投縣草屯鎮中正路768號前,死亡0;受傷1,腳踏自行車-慢車;自用-小客車,120.68466599999999,23.981607
191567,108年07月28日 13時00分00秒,南投縣南投市彰南路1段709巷10號前0.0公尺附近,死亡0;受傷1,自用-小客車;普通重型-機車,120.68580800000001,23.897475
191647,108年07月28日 14時38分00秒,南投縣南投市八卦路1453巷近路燈34192,死亡0;受傷1,普通重型-機車,120.635218,23.948482000000002
191684,108年07月28日 15時30分45秒,南投縣竹山鎮延正里江西路南側 / 南投縣竹山鎮延正里延正路西側,死亡0;受傷1,普通重型-機車;自用-小客車,120.70053700000001,23.770909
191686,108年07月28日 15時34分00秒,南投縣草屯鎮投6 1公里800.0公尺處東側向中外,死亡0;受傷1,普通重型-機車,120.723499,23.993382
191705,108年07月28日 15時53分33秒,南投縣南投市嶺興路36號前空地,死亡0;受傷1,普通重型-機車,120.66941899999999,23.906064
191708,108年07月28日 15時56分00秒,南投縣名間鄉南雲路6-1號,死亡0;受傷4,普通重型-機車;普通重型-機車;乘客-人;乘客-人,120.705352,23.824360000000002
191772,108年07月28日 17時17分00秒,南投縣竹山鎮國道3號 249公里500.0公尺處北側向內側,死亡0;受傷2,自用-小客車;自用-小客車;自用-小客車;乘客-人;乘客-人,120.66778400000001,23.775516
191812,108年07月28日 18時00分23秒,南投縣埔里鎮北門里中山路二段200號南側,死亡0;受傷1,自用-小客車;普通重型-機車,120.970201,23.967859
191838,108年07月28日 18時42分50秒,南投縣草屯鎮加老里墩煌路二段與加老南路,死亡0;受傷2,普通重型-機車;自用-小客車;乘客-人,120.66103999999999,23.997524
191850,108年07月28日 18時59分00秒,南投縣南投市南投市祖祠、信義街口,死亡0;受傷1,普通重型-機車;自用-小客車,120.679367,23.915546
191855,108年07月28日 19時10分00秒,南投縣南投市民族路163號前0.0公尺,死亡0;受傷1,自用-小客車;行人-人,120.69004699999999,23.909654
191913,108年07月28日 20時44分48秒,南投縣草屯鎮敦和里成功路口 / 南投縣草屯鎮碧山南路,死亡0;受傷1,自用-小客車;普通重型-機車,120.680448,23.978096
191922,108年07月28日 20時50分51秒,南投縣埔里鎮大城里中山路三段554號西側,死亡0;受傷1,普通重型-機車;普通重型-機車,120.950822,23.970585999999997
191931,108年07月28日 21時04分00秒,南投縣南投市中山街附近 / 南投縣南投市民權街附近,死亡0;受傷1,自用-小客車;普通重型-機車,120.68566000000001,23.909242000000003
