縣市,鄉_鎮_市_區,街_路段,火災案件編號,報案時間,到達時間,起火原因,死亡人數,受傷人數
苗栗縣,通霄鎮,,K17A01O2,106-01-01 14:47,106-01-01 14:53,其他-因燃燒雜草、垃圾,0,0
桃園市,中壢區,三民路一段,I17A01O1,106-01-01 14:52,106-01-01 15:01,遺留火種-其他-木頭餘燼,0,0
新竹縣,竹北市,,J17A01O1,106-01-01 14:52,106-01-01 15:15,遺留火種-其他-菸蒂,0,0
苗栗縣,竹南鎮,龍江街,K17A01O1,106-01-01 14:56,106-01-01 15:00,其他-因燃燒雜草、垃圾,0,0
臺中市,外埔區,甲后路,E17A01O1,106-01-01 14:59,106-01-01 15:00,其他-燃燒雜草,0,0
臺中市,大里區,永隆路,E17A01P1,106-01-01 15:02,106-01-01 15:10,爐火烹調-油鍋起火,0,0
桃園市,龍潭區,竹林路,I17A01P1,106-01-01 15:35,106-01-01 15:42,遺留火種-不詳,0,0
臺中市,西區,昇平街,E17A01P2,106-01-01 15:36,106-01-01 15:44,爐火烹調-乾燒,0,0
臺中市,大雅區,科雅西路,E17A01P3,106-01-01 15:37,106-01-01 15:50,其他-燃燒雜草,0,0
高雄市,大社區,中山路,B17A01P1,106-01-01 15:49,106-01-01 15:54,爐火烹調-油鍋起火,0,0
臺南市,中西區,和善街,G17A01P1,106-01-01 15:50,106-01-01 16:01,爐火烹調-油鍋起火,0,0
新北市,淡水區,崁頂三路,H17A01P1,106-01-01 15:57,106-01-01 16:02,其他,0,0
苗栗縣,大湖鄉,,K17A01Q2,106-01-01 16:05,106-01-01 16:17,其他-因燃燒雜草、垃圾,0,0
苗栗縣,後龍鎮,,K17A01Q1,106-01-01 16:10,106-01-01 16:25,其他-因燃燒雜草、垃圾,0,0
臺中市,后里區,安眉路,E17A01Q1,106-01-01 16:11,106-01-01 16:21,其他-燃燒雜草,0,0
臺中市,龍井區,沙田路六段,E17A01Q2,106-01-01 16:18,106-01-01 16:23,其他-因燃燒雜草、垃圾,0,0
雲林縣,口湖鄉,往口湖溼地,O17A01Q1,106-01-01 16:33,106-01-01 16:52,敬神、祭祖,0,0
臺中市,清水區,吳厝一街,E17A01Q3,106-01-01 16:38,106-01-01 16:43,其他-因燃燒雜草、垃圾,0,0
高雄市,燕巢區,安招路,B17A01Q1,106-01-01 16:49,106-01-01 16:58,遺留火種-其他-疑似火星或菸蒂等餘燼引火,0,0
苗栗縣,通霄鎮,,K17A01R2,106-01-01 17:02,106-01-01 17:10,其他-因燃燒雜草、垃圾,0,0
高雄市,燕巢區,中安路旁,B17A01R1,106-01-01 17:03,106-01-01 17:15,遺留火種-其他-微火,0,0
臺南市,中西區,府前路二段,G17A01R1,106-01-01 17:07,106-01-01 17:15,爐火烹調-乾燒,0,0
彰化縣,二水鄉,,M17A01R1,106-01-01 17:09,106-01-01 17:16,其他-因燃燒雜草、垃圾,0,0
高雄市,燕巢區,中安路、四林路口,B17A01R2,106-01-01 17:10,106-01-01 17:21,其他-因燃燒雜草、垃圾,0,0
雲林縣,虎尾鎮,學府一路,O17A01R1,106-01-01 17:11,106-01-01 17:45,菸蒂,0,0
苗栗縣,苑裡鎮,,K17A01R1,106-01-01 17:26,106-01-01 17:33,其他-因燃燒雜草、垃圾,0,0
嘉義縣,民雄鄉,大丘園,P17A01R1,106-01-01 17:34,106-01-01 17:45,其他-燒稻草,0,0
新竹縣,竹北市,,J17A01R1,106-01-01 17:35,106-01-01 17:41,其他-整地,0,0
臺中市,西屯區,協和南巷,E17A01R1,106-01-01 17:37,106-01-01 17:48,其他-燃燒雜草,0,0
臺中市,南屯區,遊園路一段,E17A01R2,106-01-01 17:46,106-01-01 18:07,其他-燃燒雜草,0,0
臺中市,豐原區,朴子街,E17A01R3,106-01-01 17:50,106-01-01 18:03,其他-燃燒雜草 垃圾,0,0
臺中市,新社區,興社街二段,E17A01S1,106-01-01 18:00,106-01-01 18:19,其他-因燃燒雜草、垃圾,0,0
彰化縣,大城鄉,,M17A01S1,106-01-01 18:07,106-01-01 18:23,其他-因燃燒雜草、垃圾,0,0
嘉義縣,大林鎮,國3南下279K旁下方約1公里處,P17A01S1,106-01-01 18:34,106-01-01 18:40,其他-因燃燒雜草、垃圾,0,0
臺中市,西區,中美街,E17A01T1,106-01-01 19:29,106-01-01 19:39,電氣因素(不含車輛)-短路,0,0
屏東縣,牡丹鄉,牡丹路,S17A01T1,106-01-01 19:33,106-01-01 19:41,爐火烹調-其他,0,0
新竹縣,新埔鎮,關埔路水車頭段,J17A01T1,106-01-01 19:37,106-01-01 19:44,其他-自行加油不慎引火,0,0
苗栗縣,頭份市,,K17A01U1,106-01-01 20:05,106-01-01 20:13,其他-因燃燒雜草、垃圾,0,0
臺北市,北投區,大業路,A17A01U1,106-01-01 20:33,106-01-01 20:40,菸蒂,0,0
桃園市,中壢區,啟文路三段,I17A01U1,106-01-01 20:44,106-01-01 21:03,爐火烹調-其他,0,0
彰化縣,埤頭鄉,斗苑東路,M17A01V1,106-01-01 21:00,106-01-01 21:11,其他-因燃燒雜草、垃圾,0,0
臺中市,豐原區,豐原大道七段,E17A01V1,106-01-01 21:25,106-01-01 21:33,其他-燃燒雜草 垃圾,0,0
高雄市,左營區,文學路,B17A01V1,106-01-01 21:31,106-01-01 21:37,其他-明火引燃,0,0
屏東縣,里港鄉,里中路,S17A01V1,106-01-01 21:38,106-01-01 21:48,交通事故-互撞,0,0
臺南市,歸仁區,台86線14K（東向）,G17A01V1,106-01-01 21:39,106-01-01 22:06,遺留火種-其他,0,0
高雄市,仁武區,文學路二段,B17A01W1,106-01-01 22:11,106-01-01 22:18,電氣因素(不含車輛)-短路,0,0
苗栗縣,頭份市,自強路,K17A01W1,106-01-01 22:20,106-01-01 22:29,其他-因燃燒雜草、垃圾,0,0
桃園市,楊梅區,楊湖路三段,I17A01W1,106-01-01 22:28,106-01-01 22:39,菸蒂,0,0
雲林縣,崙背鄉,垃圾場,O17A01W1,106-01-01 22:55,106-01-01 23:10,菸蒂,0,0
臺南市,新市區,南科聯外道路十字路口右轉往大洲,G17A01X1,106-01-01 23:04,106-01-01 23:27,遺留火種-其他,0,0
臺北市,士林區,忠誠路2段,A17A02A1,106-01-02 00:02,106-01-02 00:02,瓦斯漏氣或爆炸-其他,0,0
高雄市,,進學路,B17A02A3,106-01-02 00:32,106-01-02 00:37,其他-因燃燒雜草、垃圾,0,0
屏東縣,新園鄉,巖仔路,S17A02A1,106-01-02 00:36,106-01-02 00:46,菸蒂,0,0
高雄市,杉林區,杉林往甲仙方向未到火山橋,B17A02A2,106-01-02 00:37,106-01-02 00:42,其他-車輛機械因素-輪胎之摩擦,0,0
澎湖縣,馬公市,興仁里,W17A02B1,106-01-02 01:20,106-01-02 01:30,機械設備-著火物洩漏,0,0
臺南市,永康區,中山東路,G17A02C1,106-01-02 02:14,106-01-02 02:42,遺留火種-其他,0,0
雲林縣,口湖鄉,台17線金湖路段,O17A02E1,106-01-02 04:40,106-01-02 04:55,菸蒂,0,0
臺北市,士林區,大南路,A17A02E1,106-01-02 04:47,106-01-02 04:53,電氣因素(不含車輛)-其他,0,0
桃園市,觀音區,九如街,I17A02G1,106-01-02 06:30,106-01-02 06:39,交通事故-其他-撞擊路樹,0,0
臺中市,清水區,甲南國小對面,E17A02G1,106-01-02 06:59,106-01-02 07:04,其他-因燃燒雜草、垃圾,0,0
桃園市,桃園區,經國路,I17A02H1,106-01-02 07:27,106-01-02 07:36,電氣因素(不含車輛)-短路,0,0
苗栗縣,三義鄉,,K17A02I1,106-01-02 08:21,106-01-02 08:27,其他-因燃燒雜草、垃圾,0,0
苗栗縣,三義鄉,,K17A02I2,106-01-02 08:22,106-01-02 08:30,其他-因燃燒雜草、垃圾,0,0
新北市,金山區,半嶺,H17A02I1,106-01-02 08:56,106-01-02 09:10,電氣因素(不含車輛)-短路,0,0
彰化縣,北斗鎮,,M17A02J1,106-01-02 09:08,106-01-02 09:50,其他-因燃燒雜草、垃圾,0,0
臺南市,佳里區,台19線往學甲方向,G17A02J1,106-01-02 09:30,106-01-02 09:37,遺留火種-其他,0,0
嘉義縣,新港鄉,示範公墓旁,P17A02J1,106-01-02 09:49,106-01-02 09:55,遺留火種-其他-雜草、垃圾-廢棄物雜草 ,0,0
新竹縣,尖石鄉,,J17A02J1,106-01-02 09:55,106-01-02 10:05,菸蒂,0,0
